slot_filler_id,score_pop,score_mainstream,score_niche,model_tier,source_prediction_count
1,0.201465,0.119247,0.679289,niche,43
2,0.050216,0.117944,0.83184,niche,1
3,0.048126,0.348805,0.603069,niche,73
4,0.009272,0.042895,0.947833,niche,1
5,0.872744,0.00821,0.119046,pop,2
6,0.445269,0.288185,0.266546,pop,4
7,0.872744,0.00821,0.119046,pop,2
8,0.00073,0.600922,0.398348,mainstream,2
9,0.002357,0.27629,0.721352,niche,9
10,0.021615,0.709114,0.269271,mainstream,2
11,0.013557,0.820247,0.166196,mainstream,4
12,0.002457,0.025908,0.971635,niche,3
13,0.007083,0.173648,0.819268,niche,4
14,0.007436,0.010689,0.981875,niche,2
15,0.004308,0.012153,0.983539,niche,3
16,0.008782,0.088869,0.902349,niche,4
17,0.024611,0.168713,0.806676,niche,85
18,0.009897,0.121258,0.868846,niche,12
19,4.1e-05,0.005568,0.994392,niche,1
20,0.002227,0.260217,0.737557,niche,7
21,0.000333,0.000304,0.999363,niche,1
22,0.003363,0.007734,0.988903,niche,2
23,0.006459,0.038143,0.955398,niche,2
24,0.006389,0.021499,0.972112,niche,1
25,0.005343,0.060509,0.934148,niche,2
26,0.003165,0.673185,0.32365,mainstream,4
27,0.003308,0.620229,0.376463,mainstream,3
28,0.021451,0.519737,0.458811,mainstream,27
29,0.0225,0.666305,0.311195,mainstream,31
30,0.006235,0.782431,0.211334,mainstream,16
31,0.005626,0.182248,0.812126,niche,34
32,0.055836,0.320287,0.623877,niche,24
33,0.051152,0.067507,0.881341,niche,2
34,0.00029,5.4e-05,0.999657,niche,1
35,0.004962,0.679072,0.315966,mainstream,1
36,0.004962,0.679072,0.315966,mainstream,1
37,0.007614,0.3987,0.593685,niche,2
38,0.007614,0.3987,0.593685,niche,2
39,0.016539,0.060228,0.923233,niche,11
40,0.117463,0.390682,0.491855,niche,1
41,0.006381,0.192505,0.801114,niche,10
42,0.025104,0.002454,0.972443,niche,3
43,0.000425,0.031518,0.968057,niche,1
44,0.008282,0.272209,0.719508,niche,2
45,0.015768,0.093503,0.89073,niche,36
46,0.000622,0.004511,0.994867,niche,2
47,0.000301,0.017972,0.981727,niche,3
48,0.135253,0.290886,0.573861,niche,15
49,0.001325,0.29329,0.705386,niche,1
50,0.012874,0.222205,0.764921,niche,45
51,0.012947,0.022472,0.964581,niche,19
52,0.004938,0.014808,0.980254,niche,4
53,0.000501,0.026579,0.972919,niche,2
54,0.031679,0.272676,0.695645,niche,37
55,0.09572,0.427107,0.477172,niche,16
56,0.021581,0.104833,0.873585,niche,14
57,0.096682,0.226002,0.677316,niche,38
58,0.005175,0.871424,0.123401,mainstream,2
59,0.005175,0.871424,0.123401,mainstream,2
60,0.091214,0.257072,0.651714,niche,1
61,0.091214,0.257072,0.651714,niche,1
62,0.023484,0.321859,0.654657,niche,3
63,0.001744,0.046708,0.951547,niche,2
64,0.007735,0.035356,0.956908,niche,14
65,0.005874,0.857813,0.136313,mainstream,2
66,0.005874,0.857813,0.136313,mainstream,2
67,0.00303,0.008046,0.988924,niche,1
68,0.041639,0.178057,0.780304,niche,15
69,0.003012,0.304526,0.692461,niche,2
70,0.302958,0.510934,0.186109,mainstream,3
71,0.007561,0.012399,0.980039,niche,3
72,0.000733,0.00133,0.997936,niche,1
73,0.083253,0.202409,0.714338,niche,62
74,1.2e-05,3.9e-05,0.999949,niche,1
75,0.115448,0.116116,0.768436,niche,12
76,0.0308,0.049067,0.920133,niche,30
77,0.025637,0.302758,0.671605,niche,1
78,0.025637,0.302758,0.671605,niche,1
79,0.000486,0.401052,0.59846,niche,2
80,0.000486,0.401052,0.59846,niche,2
81,0.006591,0.027073,0.966336,niche,1
82,0.002854,0.140465,0.856681,niche,1
83,0.002854,0.140465,0.856681,niche,1
84,0.002632,0.095967,0.901402,niche,8
85,0.00032,0.003987,0.995693,niche,4
86,0.005236,0.007015,0.987749,niche,1
87,0.005236,0.007015,0.987749,niche,1
88,0.178,0.064661,0.757338,niche,1
89,0.178,0.064661,0.757338,niche,1
90,0.178,0.064661,0.757338,niche,1
91,0.000334,0.009674,0.989992,niche,1
92,0.000206,0.021854,0.97794,niche,2
93,0.090563,0.241287,0.668151,niche,3
94,0.010198,0.336371,0.653432,niche,2
95,0.018201,0.007533,0.974266,niche,2
96,0.018201,0.007533,0.974266,niche,2
