slot_type,tier,filler,display_filler,probability,log_probability,soft_count,prior_count,evidence_count,source_count,anchored_source_count,inferred_source_count,anchored_soft_count,inferred_soft_count,teacher_confidence_mean,frequency,popularity_score,semantic_smoothing_mass,calibration_temperature,artifact_version
list_item,pop,science,Science,0.00336219157494,-5.69516226319,12.985165943,0.5,13.485165943,104,1,103,0.91,12.075165943,0.923846153846,104,0.263944972563,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,science,Science,0.00565565133562,-5.17509999733,32.7061177732,0.5,33.2061177732,104,4,100,3.01,29.6961177732,0.923846153846,104,0.263944972563,0,1,tier_slot_filler_distribution_v1
list_item,niche,science,Science,0.00526659799398,-5.24637066682,58.3087162838,0.5,58.8087162838,104,21,83,20.1,38.2087162838,0.923846153846,104,0.263944972563,0,1,tier_slot_filler_distribution_v1
list_item,pop,decision making,decision making,0.000165743221603,-8.70507082504,0.16476725,0.5,0.66476725,1,0,1,0,0.16476725,,1,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,decision making,decision making,0.000156287824722,-8.76381122042,0.41761525,0.5,0.91761525,1,0,1,0,0.41761525,,1,,0,1,tier_slot_filler_distribution_v1
list_item,niche,decision making,decision making,8.21769763078e-05,-9.40663538871,0.4176175,0.5,0.9176175,1,0,1,0,0.4176175,,1,,0,1,tier_slot_filler_distribution_v1
list_item,pop,race,Race,0.0048614276292,-5.32642313334,18.9983411381,0.5,19.4983411381,202,0,202,0,18.9983411381,0.911794871795,202,0.442737249937,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,race,Race,0.0135034869186,-4.30480733662,78.7832426116,0.5,79.2832426116,202,11,191,8.94,69.8432426116,0.911794871795,202,0.442737249937,0,1,tier_slot_filler_distribution_v1
list_item,niche,race,Race,0.00937802822112,-4.66938574903,104.21841625,0.5,104.71841625,202,28,174,26.62,77.5984162503,0.911794871795,202,0.442737249937,0,1,tier_slot_filler_distribution_v1
list_item,pop,group identity,Group Identity,0.000205991724861,-8.48767456056,0.326197,0.5,0.826197,2,0,2,0,0.326197,,2,0.177234430414,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,group identity,Group Identity,0.000186010290965,-8.58970855801,0.59212525,0.5,1.09212525,2,0,2,0,0.59212525,,2,0.177234430414,0,1,tier_slot_filler_distribution_v1
list_item,niche,group identity,Group Identity,0.000141646704633,-8.86217459611,1.08167775,0.5,1.58167775,2,0,2,0,1.08167775,,2,0.177234430414,0,1,tier_slot_filler_distribution_v1
list_item,pop,sailors,sailors,0.000208931872754,-8.47350232682,0.337989422099,0.5,0.837989422099,3,0,3,0,0.337989422099,,3,0.493742433857,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,sailors,sailors,0.000242050461441,-8.32636433519,0.921154815372,0.5,1.42115481537,3,0,3,0,0.921154815372,,3,0.493742433857,0,1,tier_slot_filler_distribution_v1
list_item,niche,sailors,sailors,0.000200679205559,-8.5138029171,1.74085576253,0.5,2.24085576253,3,0,3,0,1.74085576253,,3,0.493742433857,0,1,tier_slot_filler_distribution_v1
list_item,pop,slaves,Slaves,0.000355606370721,-7.94168613907,0.926275336395,0.5,1.4262753364,11,0,11,0,0.926275336395,0.956666666667,11,0.258412192122,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,slaves,Slaves,0.000465826459997,-7.67169739664,2.23501447926,0.5,2.73501447926,11,0,11,0,2.23501447926,0.956666666667,11,0.258412192122,0,1,tier_slot_filler_distribution_v1
list_item,niche,slaves,Slaves,0.000746770837802,-7.1997521966,7.83871018435,0.5,8.33871018435,11,3,8,2.87,4.96871018435,0.956666666667,11,0.258412192122,0,1,tier_slot_filler_distribution_v1
list_item,pop,commoners,commoners,0.000185977898636,-8.58988271585,0.245925022099,0.5,0.745925022099,2,0,2,0,0.245925022099,,2,0.493742433857,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,commoners,commoners,0.000220167497924,-8.4211219471,0.792673015372,0.5,1.29267301537,2,0,2,0,0.792673015372,,2,0.493742433857,0,1,tier_slot_filler_distribution_v1
list_item,niche,commoners,commoners,0.000130875440422,-8.94126452357,0.96140196253,0.5,1.46140196253,2,0,2,0,0.96140196253,,2,0.493742433857,0,1,tier_slot_filler_distribution_v1
list_item,pop,mark klett,Mark Klett,0.000148824998957,-8.81273944593,0.0969111999356,0.5,0.596911199936,2,0,2,0,0.0969111999356,0.98,2,0.169601440173,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,mark klett,Mark Klett,0.000144085039255,-8.84510688231,0.345968837,0.5,0.845968837,2,0,2,0,0.345968837,0.98,2,0.169601440173,0,1,tier_slot_filler_distribution_v1
list_item,niche,mark klett,Mark Klett,0.000184224797878,-8.59935381846,1.55711996306,0.5,2.05711996306,2,1,1,0.98,0.577119963064,0.98,2,0.169601440173,0,1,tier_slot_filler_distribution_v1
list_item,pop,photography,Photography,0.00059643104267,-7.42454692634,1.892181232,0.5,2.392181232,19,0,19,0,1.892181232,0.973333333333,19,0.178677464251,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,photography,Photography,0.0007967010637,-7.13503102645,4.17768392735,0.5,4.67768392735,19,0,19,0,4.17768392735,0.973333333333,19,0.178677464251,0,1,tier_slot_filler_distribution_v1
list_item,niche,photography,Photography,0.00120273193636,-6.72315969611,12.9301348406,0.5,13.4301348406,19,3,16,2.92,10.0101348406,0.973333333333,19,0.178677464251,0,1,tier_slot_filler_distribution_v1
list_item,pop,walter hagen,Walter Hagen,0.000152440331264,-8.78873730888,0.111411669348,0.5,0.611411669348,2,0,2,0,0.111411669348,0.87,2,0.133575876717,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,walter hagen,Walter Hagen,0.000201383356707,-8.51030021909,0.682385381199,0.5,1.1823853812,2,0,2,0,0.682385381199,0.87,2,0.133575876717,0,1,tier_slot_filler_distribution_v1
list_item,niche,walter hagen,Walter Hagen,0.000152798523735,-8.7863903427,1.20620294945,0.5,1.70620294945,2,1,1,0.87,0.336202949453,0.87,2,0.133575876717,0,1,tier_slot_filler_distribution_v1
list_item,pop,bobby jones,Bobby Jones,0.000178543749854,-8.63067688955,0.216107943645,0.5,0.716107943645,4,0,4,0,0.216107943645,0.82,4,0.215557054927,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,bobby jones,Bobby Jones,0.000443169444093,-7.72155836874,2.10198797287,0.5,2.60198797287,4,1,3,0.77,1.33198797287,0.82,4,0.215557054927,0,1,tier_slot_filler_distribution_v1
list_item,niche,bobby jones,Bobby Jones,0.000195399804574,-8.54046281849,1.68190408348,0.5,2.18190408348,4,1,3,0.87,0.81190408348,0.82,4,0.215557054927,0,1,tier_slot_filler_distribution_v1
list_item,pop,citizens,Citizens,0.000261804917616,-8.2479109208,0.550054013895,0.5,1.0500540139,7,0,7,0,0.550054013895,0.97,7,0.164428008058,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,citizens,Citizens,0.000372064892715,-7.89644227612,1.68451066263,0.5,2.18451066263,7,0,7,0,1.68451066263,0.97,7,0.164428008058,0,1,tier_slot_filler_distribution_v1
list_item,niche,citizens,Citizens,0.000471544574757,-7.65949692217,4.76543532347,0.5,5.26543532347,7,1,6,0.97,3.79543532347,0.97,7,0.164428008058,0,1,tier_slot_filler_distribution_v1
list_item,pop,politicians,Politicians,0.000364461452216,-7.91708976734,0.961791528955,0.5,1.46179152895,8,0,8,0,0.961791528955,,8,0.240408044287,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,politicians,Politicians,0.000597932311731,-7.42203300151,3.01064971752,0.5,3.51064971752,8,0,8,0,3.01064971752,,8,0.240408044287,0,1,tier_slot_filler_distribution_v1
list_item,niche,politicians,Politicians,0.000405464246727,-7.81047785913,4.02755875353,0.5,4.52755875353,8,0,8,0,4.02755875353,,8,0.240408044287,0,1,tier_slot_filler_distribution_v1
list_item,pop,ideas,Ideas,0.000204006050263,-8.49736090641,0.318232804365,0.5,0.818232804365,5,0,5,0,0.318232804365,0.98,5,0,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,ideas,Ideas,0.00015469764815,-8.77403800315,0.408278820399,0.5,0.908278820399,5,0,5,0,0.408278820399,0.98,5,0,0,1,tier_slot_filler_distribution_v1
list_item,niche,ideas,Ideas,0.00042748840461,-7.75758339367,4.27348837524,0.5,4.77348837524,5,2,3,1.96,2.31348837524,0.98,5,0,0,1,tier_slot_filler_distribution_v1
list_item,pop,public policy,public policy,0.000210541480502,-8.46582786724,0.344445278973,0.5,0.844445278973,6,0,6,0,0.344445278973,0.965,6,0.103377687394,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,public policy,public policy,0.000166937210526,-8.69789280112,0.480141162264,0.5,0.980141162264,6,0,6,0,0.480141162264,0.965,6,0.103377687394,0,1,tier_slot_filler_distribution_v1
list_item,niche,public policy,public policy,0.000508260059944,-7.58451731235,5.17541355876,0.5,5.67541355876,6,2,4,1.93,3.24541355876,0.965,6,0.103377687394,0,1,tier_slot_filler_distribution_v1
list_item,pop,capitalism,Capitalism,0.000797432540301,-7.13411331585,2.69836329806,0.5,3.19836329806,20,0,20,0,2.69836329806,0.92,20,0.185158004635,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,capitalism,Capitalism,0.000986234044449,-6.92161686393,5.29049200323,0.5,5.79049200323,20,1,19,0.77,4.52049200323,0.92,20,0.185158004635,0,1,tier_slot_filler_distribution_v1
list_item,niche,capitalism,Capitalism,0.00112043203349,-6.79404092387,12.0111446987,0.5,12.5111446987,20,3,17,2.91,9.10114469871,0.92,20,0.185158004635,0,1,tier_slot_filler_distribution_v1
list_item,pop,politics,Politics,0.00438975070242,-5.42848284111,17.1065269784,0.5,17.6065269784,190,0,190,0,17.1065269784,0.938444444444,190,0.35714460359,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,politics,Politics,0.00972205253088,-4.63335851707,56.5812453209,0.5,57.0812453209,190,6,184,4.88,51.7012453209,0.938444444444,190,0.35714460359,0,1,tier_slot_filler_distribution_v1
list_item,niche,politics,Politics,0.0104610860933,-4.56009299272,116.312227701,0.5,116.812227701,190,39,151,37.35,78.9622277007,0.938444444444,190,0.35714460359,0,1,tier_slot_filler_distribution_v1
list_item,pop,marx,Marx,0.000536038255792,-7.53130502669,1.64995626217,0.5,2.14995626217,12,0,12,0,1.64995626217,0.965,12,0.0779466552182,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,marx,Marx,0.000464701153025,-7.67411604065,2.22840744611,0.5,2.72840744611,12,0,12,0,2.22840744611,0.965,12,0.0779466552182,0,1,tier_slot_filler_distribution_v1
list_item,niche,marx,Marx,0.00077210820552,-7.16638585517,8.12163629172,0.5,8.62163629172,12,2,10,1.93,6.19163629172,0.965,12,0.0779466552182,0,1,tier_slot_filler_distribution_v1
list_item,pop,keynes,Keynes,0.000147378359632,-8.82250740288,0.091108981075,0.5,0.591108981075,1,0,1,0,0.091108981075,,1,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,keynes,Keynes,9.81596287607e-05,-9.22891553955,0.076326226597,0.5,0.576326226597,1,0,1,0,0.076326226597,,1,,0,1,tier_slot_filler_distribution_v1
list_item,niche,keynes,Keynes,0.000119337463995,-9.03355524634,0.832564792328,0.5,1.33256479233,1,0,1,0,0.832564792328,,1,,0,1,tier_slot_filler_distribution_v1
list_item,pop,masters,Masters,0.000208145823771,-8.47727164808,0.334836716272,0.5,0.834836716272,4,0,4,0,0.334836716272,0.99,4,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,masters,Masters,0.000144416906093,-8.84280626015,0.347917332169,0.5,0.847917332169,4,0,4,0,0.347917332169,0.99,4,,0,1,tier_slot_filler_distribution_v1
list_item,niche,masters,Masters,0.00034185238416,-7.98113153934,3.31724595156,0.5,3.81724595156,4,1,3,0.99,2.32724595156,0.99,4,,0,1,tier_slot_filler_distribution_v1
list_item,pop,disability,Disability,0.000356034282219,-7.94048353338,0.927991615027,0.5,1.42799161503,10,0,10,0,0.927991615027,0.98,10,0.182366579615,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,disability,Disability,0.000440782989978,-7.72695788985,2.08797634597,0.5,2.58797634597,10,0,10,0,2.08797634597,0.98,10,0.182366579615,0,1,tier_slot_filler_distribution_v1
list_item,niche,disability,Disability,0.000670230377642,-7.30788905745,6.984032039,0.5,7.484032039,10,2,8,1.96,5.024032039,0.98,10,0.182366579615,0,1,tier_slot_filler_distribution_v1
list_item,pop,insurance,Insurance,0.000270872455785,-8.21386249073,0.586422333242,0.5,1.08642233324,5,0,5,0,0.586422333242,,5,0.09765120176,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,insurance,Insurance,0.000267103960628,-8.2278726097,1.06825183307,0.5,1.56825183307,5,0,5,0,1.06825183307,,5,0.09765120176,0,1,tier_slot_filler_distribution_v1
list_item,niche,insurance,Insurance,0.000344367070082,-7.97380240531,3.34532583368,0.5,3.84532583368,5,0,5,0,3.34532583368,,5,0.09765120176,0,1,tier_slot_filler_distribution_v1
list_item,pop,krafft-ebing,Krafft-Ebing,0.000126293401801,-8.97690277225,0.00654088050314,0.5,0.506540880503,1,0,1,0,0.00654088050314,0.96,1,0.22447050467,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,krafft-ebing,Krafft-Ebing,9.08585219833e-05,-9.30620696473,0.0334591194969,0.5,0.533459119497,1,0,1,0,0.0334591194969,0.96,1,0.22447050467,0,1,tier_slot_filler_distribution_v1
list_item,niche,krafft-ebing,Krafft-Ebing,0.000130749888063,-8.94222431114,0.96,0.5,1.46,1,1,0,0.96,0,0.96,1,0.22447050467,0,1,tier_slot_filler_distribution_v1
list_item,pop,psychiatry,psychiatry,0.000177775762658,-8.63498756219,0.213027680503,0.5,0.713027680503,3,0,3,0,0.213027680503,0.96,3,0.194172295353,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,psychiatry,psychiatry,0.000139342420026,-8.87857620074,0.318123419497,0.5,0.818123419497,3,0,3,0,0.318123419497,0.96,3,0.194172295353,0,1,tier_slot_filler_distribution_v1
list_item,niche,psychiatry,psychiatry,0.000265874425582,-8.23248644493,2.4688489,0.5,2.9688489,3,1,2,0.96,1.5088489,0.96,3,0.194172295353,0,1,tier_slot_filler_distribution_v1
list_item,pop,fritz haber,Fritz Haber,0.000221724878465,-8.41407323084,0.389299944144,0.5,0.889299944144,4,0,4,0,0.389299944144,0.91,4,0.173120263663,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,fritz haber,Fritz Haber,0.00026248402796,-8.24532032365,1.04112674718,0.5,1.54112674718,4,0,4,0,1.04112674718,0.91,4,0.173120263663,0,1,tier_slot_filler_distribution_v1
list_item,niche,fritz haber,Fritz Haber,0.000274894771582,-8.19912218232,2.56957330868,0.5,3.06957330868,4,1,3,0.91,1.65957330868,0.91,4,0.173120263663,0,1,tier_slot_filler_distribution_v1
list_item,pop,carl bosch,Carl Bosch,0.000218055564333,-8.43076064539,0.374582963012,0.5,0.874582963012,3,0,3,0,0.374582963012,,3,0.192892457136,0,1,tier_slot_filler_distribution_v1
